Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,"А-класс (реальный, основа)",перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.Q,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
HEAR OR LISTEN,3862,слышать,ãhã,"<ES S, S>",ãhã,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
SEE,1409,видеть,hā̃,"<ES S, S>",hā̃,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
"FEAR (BE AFRAID), FEAR OR FRIGHTEN","1419, 2109","пугаться, бояться",heri,"<ES S, S>",heri,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
HANG,2884,висеть,k’ark’ari,"<ES S, S>",k’ark’ari,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
"DWELL (LIVE, RESIDE)",363,"быть (в значении ""жить где-то"")",b-uk’a,"<ES S, S>",b-uk’a,"<ES S, S>",0,1,0,0,1,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
FIND,719,находить,b-isā̃,"<ES, ->",b-isā̃,"<ES, ->",0,1,0,0,0,0,0,0,0,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"DIE, BE DEAD OR DIE, DIE (FROM ACCIDENT)","1494, 2101, 2865",умирать,b-ičʼa,"<ES, P>",b-ičʼa,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
ARRIVE,1387,"доходить, достигать",b-ac’a,"<ES, P>",b-ac’a,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"FALL, TUMBLE (FALL DOWN)","1280, 2894",падать,b-aha,"<ES, P>",b-aha,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
PUT ON,158,надевать,eš̄a,"<ES, P>",eš̄a,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
,,"распрямлять, выравнивать",b-it’ē,"<ES, P>",b-it’ē,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
BREAK (DESTROY OR GET DESTROYED),680,ломать,qini,"<ES, P>",qini,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
STICKING,254,"прилипать, приклеиваться",t’ek˳ã,"<ES, P>",t’ek˳ã,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
TEAR,1735,рваться,Xabdi,"<ES, P>",Xabdi,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
,,закрывать,ruhã,"<ES, P>",ruhã,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
FILL,2006,наполняться,b-ec’i,"<ES, P>",b-ec’i,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
LOSE,1660,терять,b-itē,"<ES, P>",b-itē,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
KNOW (SOMETHING),1410,знать,b-ija,"<ES, S>",b-ija,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
HURT (SENSE PAIN),2561,болеть,hali,"<ES, S>",hali,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
UNDERSTAND,1536,понимать,b-uhã,"<ES, S>",b-uhã,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
LIKE,1117,нравиться,b-oL’iri,"<ES, S>",b-oL’iri,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
BELIEVE,1890,верить,b-oža,"<ES, S>",b-oža,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
RESEMBLE,1777,оказываться похожим,bał̄i,"<ES, S>",bał̄i,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
LOVE,923,любить,helali,"<ES, S>",helali,"<ES, S>",0,1,0,0,0,0,0,0,0,0,1,0,"[Татевосов 2016], [Татевосов 2005]",
LOOK FOR,1468,искать,c'aXXĩ,"<P, P>",c'aXXĩ,"<P, P>",0,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"SMELL (PERCEIVE), SMELL","1586, 2124",нюхать,huni,"<P, P>",huni,"<P, P>",0,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
"POUR, FLOW","1487, 2003","сыпаться, литься",X˳ē,"<P, P>",X˳ē,"<P, P>",0,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
BE,1579,быть,b-uk’a,"<S, ->",b-uk’a,"<S, ->",0,0,0,0,1,0,0,0,0,0,0,0,"[Татевосов 2016], [Татевосов 2005]",
