Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф. Q,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии
SING,1892,касаться,toŋgala- / toŋgače-,"<ES, S; S>",toŋgače-,<S; —>,0,0,0,0,1,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
SAW (SOMETHING),1909,качать (головой),xarxe- / xarxele-,"<ES, Q, MP; MP>",xarxe-,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
SAW (SOMETHING),1909,качать (головой),xarxe- / xarxele-,"<ES, Q, MP; MP>",xarxele-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
WRITE,879,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmusi-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
WRITE,879,кашлять,siŋmusi- / siŋmupsin-,<Q; MP>,siŋmupsin-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
CRY,792,кипеть,pujsi-,<P; P>,pujsi-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
WIN,1766,кончать,xoǯe- / xoǯeče-,<ES; P>,xoǯe-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
WIN,1766,кончать,xoǯe- / xoǯeče-,<ES; P>,xoǯeče-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SWEEP,1418,копать,xulə-,"<ES, P; P>",xulə-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
SWEEP,715,кричать,mora- / morapsen-,<Q; MP>,mora-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,715,кричать,mora- / morapsen-,<Q; MP>,morapsen-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
,,крутиться,kəndəli-,<P; P>,kəndəli-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,1689,курить,damaxela-,"<EP, P; P>",damaxela-,"<EP, P; P>",1,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
