Название фрейма,Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.MP,имперф.S,Источник,Комментарии,,
sit,"1416, 1649",сидеть,ɒrre,"<S, S>",ɒrre,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
sit,"1416, 1649",сесть,ɨššte,"<ES, ->",ɨššte,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
sleep,1585,спать,vued'd'e,"<S, S>",vued'd'e,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
slide,,скользить,n'af'f'k'e,"<P, P>",n'af'f'k'e,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
snore,1983,храпеть,koor̥r̥se,"<P, P>",koor̥r̥se,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
speak,"2708, 1623",говорить,saarrne,"<P, P>",saarrne,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
spin,,крутиться,čoonne,"<MP, MP>",čoonne,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,,,,
spit,1440,плевать,čoollke,"<MP, MP>",čoollke,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,1,0,,,,
stand,"570, 1442",стоять,čuenče / čuenčle,"<ES S, S>",čuenče,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
stand,"570, 1442",встать,čuenče / čuenčle,"<ES S, S>",čuenčle,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
stay,987,остаться,kuuddje,"<ES, ->",kuuddje,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
stop,3351,остановиться,jeesske,"<ES, ->",jeesske,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
swim,1439,плыть / плавать,vuujje,"<P, P>",vuujje,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
tear off,,отрывать,rɒdde,"<P, P>",rɒdde,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
think,2271,думать,jur'r'te,"<P, P>",jur'r'te,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
understand,1536,понимать,ɒɒntše,"<ES S, S>",ɒɒntše,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,0,1,,,,
wait,1590,ждать,vuur'r'te,"<S, S>",vuur'r'te,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
want,1784,хотеть,taahte,"<S, S>",taahte,"<S, S>",0,0,0,0,0,0,0,1,0,0,0,1,,,,
win,866,победить,vuej̥j̥te,"<ES, ->",vuej̥j̥te,"<ES, ->",0,0,1,0,0,0,0,0,0,0,0,0,,,,
work,1086,работать,roobxušše,"<P, P>",roobxušše,"<P, P>",0,0,0,0,1,0,0,0,1,0,0,0,,,,
write,1672,писать,kɨr'jxe,"<ES P, P>",kɨr'jxe,"<ES P, P>",0,0,1,0,1,0,0,0,1,0,0,0,,,,
