Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,"курить, пить",ome-,"<ES, P; P>",ome-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,кусать,səkpən- / səkpəči-,"<ES, Q, MP; MP, P>",səkpən-,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
,кусать,səkpən- / səkpəči-,"<ES, Q, MP; MP, P>",səkpəči-,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,лаять,wāče-,"<ES, P; P>",wāče-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"лежать, спать",ao-,<S; S>,ao-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,ложиться,akpan-,"<ES, P; P>",akpan-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdə-,<EP; P> ,1,0,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdəgu-,"<EP, ES; —>",1,1,0,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,лететь,dəgdə- / dəgdəgu- / dəgdəči-,"<EP, ES, P; P>",dəgdəči-,<P; —>,0,0,1,0,0,0,0,0,0,0,0,0,[Oskolskaya 2017],найхинский говор
,лечить1,okče-,<P; P>,okče-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
