Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.EMP,перф.ES,перф.Q,перф.P,перф.P2,перф.MP,перф.S,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии,Легенда,
2309,жить,,,ӛläš,"<S, S>",0,0,0,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
923,любить,,,jarataš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,есть пример: 333,,
1408,слышать,,,kolaš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
1419,бояться,,,lüdäš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
1536,понимать,,,ə̑ngə̑laš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
1410,знать,,,päläš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
"2223, 2215",сердиться,,,šӛdeškäš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
1409,видеть,,,užaš,"<ES S, S>",0,0,1,0,0,0,0,1,0,0,1,0,Kashkin et al. (eds) 2023,,,
2506,терять,,,jamdaš,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,Kashkin et al. (eds) 2023,,,
92,портить,,,loktə̑laš,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,Kashkin et al. (eds) 2023,,,
"680, 3020",ломаться,,,pə̑də̑rgaš,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,Kashkin et al. (eds) 2023,,,
569,"киснуть, портиться",,,šapaš,"<ES, —>",0,0,1,0,0,0,0,0,0,0,0,0,Kashkin et al. (eds) 2023,,,
"695, 1752","идти, уходить",,,keäš,"<EP P1 P2, P1 P2>",1,0,0,0,1,1,0,0,1,1,0,0,Kashkin et al. (eds) 2023,есть пример: 334,,
3291,"везти, увозить, уводить",,,nängeäš,"<EP P1 P2, P1 P2>",1,0,0,0,1,1,0,0,1,1,0,0,Kashkin et al. (eds) 2023,,,
"1519, 2142","бежать, убежать",,,kə̑rgə̑žaš,"<EP P1 P2, P1 P2>",1,0,0,0,1,1,0,0,1,1,0,0,Kashkin et al. (eds) 2023,есть пример: 335,,
1441,"лететь, улетать",,,vӛsäš,"<EP P1 P2, P1 P2>",1,0,0,0,1,1,0,0,1,1,0,0,Kashkin et al. (eds) 2023,,,
879,кашлять,,,kaxə̑raš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
1206,лаять,,,optaš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
1456,"бросать, разбрасывать",,,kӛškäš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
3359,капать,,,pat'kaš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
2133,"бить, стучать",,,seväš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
1025,свистеть,,,šiškaš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,есть пример: 333,,
1452,толкать,,,šӛkäš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
1436,чесать,,,ə̑də̑raš,"<MP, MP>",0,0,0,0,0,0,1,0,0,0,0,1,Kashkin et al. (eds) 2023,,,
