Название фрейма,Фрейм,Значение,А-группа,А-класс группы,Форма,А-класс,перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф. MP,Источник,Комментарии,,,
touch,1892,касаться1,tɤtɤna,"<ES S, S>",tɤtɤna,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
cold (feeling cold),3819,мерзнуть,tuŋa,"<ES S, S>",tuŋa,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
remember,707,помнить,xäterli,"<ES S, S>",xäterli,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
be called by name,3835,называться,atala,"<ES S, S>",atala,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
want,1784,желать,teli,"<ES S, S>",teli,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
visible,1868,быть заметным,belenä,"<ES S, S>",belenä,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
sick,1847,болеть,awɤrta,"<ES S, S>",awɤrta,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
surprised,1572,удивляться,gäjäplänä,"<ES S, S>",gäjäplänä,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
sleep,1585,спать,jɤklɤj,"<ES S, S>",jɤklɤj,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
scratch,1436,чесаться,keči,"<ES S, S>",keči,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
happy,1495,радоваться,šatlana,"<ES S, S>",šatlana,"<ES S, S>",0,1,0,0,1,0,0,0,0,1,0,[Tatevosov et al. 2017],,,,
stand,1442,стоять,tɤra,"<ES S, P S>",tɤra,"<ES S, P S>",0,1,0,0,1,0,0,1,0,1,0,[Tatevosov et al. 2017],,,,
lay (verb),2071,лежать,jata,"<ES S, P S>",jata,"<ES S, P S>",0,1,0,0,1,0,0,1,0,1,0,[Tatevosov et al. 2017],,,,
sit,1416,сидеть,utɤra,"<ES S, P S>",utɤra,"<ES S, P S>",0,1,0,0,1,0,0,1,0,1,0,[Tatevosov et al. 2017],,,,
open,1156,открывать,ača,"<ES P, P>",ača,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
explain,1626,объяснять,aŋnata,"<ES P, P>",aŋnata,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
find out,2237,"разузнавать, выяснять",belešä,"<ES P, P>",belešä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
rot,2907,гнить,čeri,"<ES P, P>",čeri,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
find,1261,петь,ʒɤrlɤj,"<ES P, P>",ʒɤrlɤj,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
win,866,выигрывать,ʒiŋä,"<ES P, P>",ʒiŋä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
dink,1401,пить,ečä,"<ES P, P>",ečä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
write,1672,писать,jaza,"<ES P, P>",jaza,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
dig,1418,копать,kazɤj,"<ES P, P>",kazɤj,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
wear,976,надевать,kigezä,"<ES P, P>",kigezä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
cut,1432,"резать, пилить",kisä,"<ES P, P>",kisä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
boil,2493,вариться,pešä,"<ES P, P>",pešä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
sweep,230,подметать,seberä,"<ES P, P>",seberä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
irrigate,3078,поливать,sibä,"<ES P, P>",sibä,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
plough,1921,пахать,sukalɤj,"<ES P, P>",sukalɤj,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Tatevosov et al. 2017],,,,
