Фрейм,Значение,Форма,А-класс (реальный),перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
1408,слышать,,"<ES S, S>",0,1,0,0,0,1,0,0,0,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","в скане не разобрать форму, надо поискать бумажную версию"
1156,открывать,ač,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1749,брать,al,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1672,писать,čij,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1107,выходить,čɨq,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1336,есть,tʲe,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1446,"приходить, идти",kel,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1453,мыть,tʲun,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",форма плохо различима в скане
2558,ломать,o:t,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
3058,пастись2,pastux,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
2334,таять,qajɨl,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
2146,жарить,qa:r,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
749,заходить,kir,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
3020,ломаться,sɨn,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1735,рвать1,tal,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1431,мерзнуть,toŋ,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1280,падать,tüš,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1494,умирать,öl,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1735,рвать2,üs,"<ES P, P>",0,1,0,1,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1446,доходить,tʲet,"<ES, P>",0,1,0,0,0,0,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","тот же фрейм что и у приходить, но тут другой акциональный класс"
719,находить,tap,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
423,теряться,tʲule,"<ES S, —>",0,1,0,0,0,1,0,0,0,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",странный класс
"1409, 1819","видеть, смотреть",kör,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","в источнике значения видеть и смотреть разделены на два глагола и два акциональных класса, но форма у них одна и поэтому думаю что это один глагол <ES P S, P S> с двумя переводами на русский"
"1416, 1649",сидеть,očar,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
"1410, 1536","знать, понимать",oŋno,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
"702, 1448","держать, ловить",tut,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
"570, 1442","вставать, стоять",tur,"<ES P S, P S>",0,1,0,1,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
"1990, 1579","стать, быть",pol,"<ES S, P S>",0,1,0,0,0,1,0,0,1,0,1,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1523,забывать,uŋdu,"<ES S, P>",0,1,0,0,0,1,0,0,1,0,0,0,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
879,кашлять,töš,"<Q MP, MP>",0,0,1,0,0,0,1,0,0,0,0,1,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)","в источнике Q=ES, EMP=EP"
1403,кусать,tište,"<Q MP S, MP S>",0,0,1,0,0,1,1,0,0,0,1,1,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1456,бросать,tašta,"<Q P MP, P MP>",0,0,1,1,0,0,1,0,1,0,0,1,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
1204,лаять,ür,"<EMP Q MP, MP>",0,0,1,0,0,0,1,1,0,0,0,1,"Шлуинский 2009 (Пазельская, Рыбинцева в Тубуларские этюды 2009)",
