Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
STOP DOING,3351,"останавливаться, прекращаться",toxta,"<ES, P, S; P, S>",toxta,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
,,остывать,suw,"<ES, Р; Р>",suw,"<ES, Р; Р>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,остывать,suu,"<ES, Р; Р>",suu,"<ES, Р; Р>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
OPEN,1156,открывать,ас,"<ES, Р; Р>",ас,"<ES, Р; Р>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"GRAZE, PUT OUT TO PASTURE","3058, 2031","пасти, пастись",küt,"<ES, P; P>",küt,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PLOUGH,1921,пахать,sür,"<ES, P; P>",sür,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SOIL,1015,пачкаться,kir bol,<ES; P>,kir bol,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SING,1261,петь,zɨrla,"<ES, P; P>",zɨrla,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WRITE,1672,писать,zaz,"<ES, P; P>",zaz,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DRINK,1401,пить,ic,"<ES, P; P>",ic,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
CRY,1839,плакать,zɨla,"<EP, P; P>",zɨla,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SPIT,1440,плевать,tükür,"<ES, MP; MP>",tükür,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
