Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
BE BORN,1090,рождаться,tuwu,<ES; P>,tuwu,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DROP (SOMETHING),2866,"ронять, валить",zɨq,"<ES, P; P>",zɨq,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
CHOP,155,рубить,zar,"<ES, P; P>",zar,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SCOLD,299,ругать,qɨcɨr,"<ES P, P>",qɨcɨr,"<ES P, P>",0,1,0,0,0,0,0,1,0,0,0,[Татевосов 2016],,
WHISTLE,1025,свистеть,sɨzʁɨr,"<ES, P, MP; P, MP>",sɨzʁɨr,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
SOW SEEDS,748,сеять,sep,"<ES, P; P>",sep,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SOW SEEDS,748,сеять,seb,"<ES, P; P>",seb,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
SIT,1416,сидеть,oltur,"<ES S, P S>",oltur,"<ES S, P S>",0,1,0,0,1,0,0,1,0,1,0,[Татевосов 2005],,
"SIT, SIT DOWN","1416, 1649","сидеть, садиться",oltur,"<ES P S, P S>",oltur,"<ES P S, P S>",0,1,1,0,1,0,0,1,0,1,0,"[Lyutikova et al 2006], [Татевосов 2016]",,
,,скользить,ucxala,"<ES, MP; MP>",ucxala,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
SQUEAK,3692,скрипеть,cɨqɨrda,"<ES, MP; MP>",cɨqɨrda,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
LISTEN,1608,слушать,tɨŋɨla,"<ES, P; P>",tɨŋɨla,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
HEAR,1408,слышать,ešit,"<ES, S; S>",ešit,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
LAUGH,1355,смеяться,kül,"<EP, P; P>",kül,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LOOK,1819,смотреть,qara,"<ES, P; P>",qara,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
TAKE OFF,3538,"снимать одежду, раздеваться",teš,"<ES, P; P>",teš,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GATHER,7,собирать,zɨj,"<ES, P; P>",zɨj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SUCK,1421,сосать,em,"<ES, P; P>",em,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DRY UP,1786,"сохнуть, вянуть",quru,"<ES, P; P>",quru,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"SLEEP, FALL ASLEEP","1585, 1106","спать, засыпать",zuqla,"<ES, P, S; P, S>",zuqla,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
HURRY,754,спешить,ašɨq,"<EP, P; P>",ašɨq,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GO DOWN (DESCEND),2014,спускаться (о людях),tüš,"<ES, P; P>",tüš,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BECOME,1990,становиться,bol,"<ES, S; P>",bol,"<ES, S; P>",0,1,0,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
"STAND, STAND UP","1442, 570","стоять, вставать",tur,"<ES, P, S; P, S>",tur,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
"STAND, STAND UP","1442, 571","стоять, вставать",süjel,"<ES, P, S; P, S>",süjel,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
"HIT, BEAT","1433, 1665","стучать, ударять",qaq / ur,"<ES, MP P; MP P>",qaq,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,"[Lyutikova et al 2006], [Татевосов 2016]",,
"HIT, BEAT","1433, 1666","стучать, ударять",qaq / ur,"<ES, MP P; MP P>",qaq,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,"[Lyutikova et al 2006], [Татевосов 2016]",,
,,сыпать,tök,"<ES, P; P>",tök,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DANCE,1879,танцевать,tepse,"<ES P, P>",tepse,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
MELT,2334,таять,eri,"<ES P, P>",eri,"<ES P, P>",0,1,1,0,0,0,0,1,0,0,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
