frame_id,concepticon_id,concepticon
76,1423,FIGHT
77,1415,THINK (REFLECT)
78,2309,LIVE
79,251,SHARPEN (SOMETHING)
80,2234,FALL (OF SNOW AND RAIN)
81,808,DRIP (FALL IN GLOBULES)
82,1766,FINISH
83,1689,SMOKE (INHALE)
83,1401,DRINK
84,2116,REST OR SLEEP
85,1487,POUR
86,215,LIE DOWN
87,966,BRAKE
88,3544,WAVE (VERB)
89,972,BE ABLE
90,1101,SUFFER
91,158,PUT ON
92,3447,BEGIN OR START
93,1626,EXPLAIN
94,1921,PLOUGH
95,1015,SOIL
96,1261,SING
97,3543,SAW (SOMETHING)
98,866,WIN
99,230,SWEEP
100,707,REMEMBER
101,1897,HELP
102,1743,JOIN
103,1828,ASK (REQUEST)
104,2243,REPAIR
105,2892,MAKE ANGRY (ANNOY)
106,2223,BE ANGRY
107,2328,MISS (SOMEBODY)
108,1608,LISTEN
109,1408,HEAR
110,1711,TELL
110,1624,EMPTY
111,1786,DRY UP
112,754,HURRY
113,2003,FLOW
114,1433,HIT
115,1996,GET TIRED
116,1752,LEAVE
117,3287,BLOOM
118,578,KISS
119,3855,ITCH (CAUSE ITCHING OR FEEL ITCHY)
120,275,PEEL
121,1079,FEEL
122,1890,BELIEVE
123,813,DO
124,737,LIGHT (IGNITE)
125,1909,SHAKE
126,499,CURE
127,1839,CRY
128,1602,WAKE UP
110,1623,SPEAK
110,1625,DEAD
129,1417,KILL
130,724,READ
131,1278,VOMIT
132,1831,MEET
133,526,HOWL
134,127,EXTINGUISH
135,2209,BECOME EXTINGUISHED
136,2102,BURN
137,2706,GNAW
49,2890,WALK (TAKE A WALK)
138,765,MOVE
139,734,MAKE
140,2271,THINK
141,991,FRY
142,179,RIPEN
143,2229,BECOME SOUR
144,998,PUT
145,3122,PAINT (SOMETHING)
146,681,DESTROY
48,1477,KEEP
147,1952,TORTURE
148,1092,HOPE
149,375,SNIFF
150,3351,STOP DOING
21,2031,PUT OUT TO PASTURE
151,1439,SWIM
151,1574,FLOAT
151,1575,COCKROACH
152,1869,BUY
153,92,SPOIL (SOMEBODY OR SOMETHING)
154,1324,SLIP
155,2891,TIE UP (TETHER)
156,1829,JUMP
157,2486,HIDE
158,352,UNTIE
158,1095,LET GO OR SET FREE
159,479,GROW
160,2070,COMB (VERB)
161,1432,CUT
162,1090,BE BORN
163,2866,DROP (SOMETHING)
164,155,CHOP
165,299,SCOLD
166,1025,WHISTLE
167,748,SOW SEEDS
168,3692,SQUEAK
169,3538,TAKE OFF
170,7,GATHER
171,1421,SUCK
172,2014,GO DOWN (DESCEND)
49,571,STING
114,1665,BEAT
114,1666,MUTE
173,1879,DANCE
138,1452,PUSH
174,1088,SINK (DESCEND)
175,2704,FADE (LOOSE COLOR)
176,761,COVER
177,1929,STUDY
178,3455,COMMEND
179,1784,WANT
180,1436,SCRATCH
181,2235,CLEAN (SOMETHING)
182,2875,RING (MAKE SOUND)
183,3129,SKATE
110,2708,TALK
141,183,BAKE
4,1650,WATCH
184,1682,GUILTY
185,1341,HEAT UP
186,1512,RISE (ONESELF)
186,3207,GO UP OR RISE (ONESELF)
150,2880,HALT (STOP)
187,2192,REJOICE
188,3862,HEAR OR LISTEN
29,2109,FEAR OR FRIGHTEN
189,2884,HANG
15,2101,BE DEAD OR DIE
15,2865,DIE (FROM ACCIDENT)
190,1387,ARRIVE
43,2894,TUMBLE (FALL DOWN)
191,680,BREAK (DESTROY OR GET DESTROYED)
192,254,STICKING
193,2006,FILL
194,1660,LOSE
195,2561,HURT (SENSE PAIN)
196,1777,RESEMBLE
197,1586,SMELL (PERCEIVE)
197,2124,SMELL
198,142,RETURN HOME
199,2248,KNOW (SOMEBODY)
200,141,BURN (SOMETHING)
201,1501,BORE
202,2324,GET WET
203,43,LEAD (GUIDE)
180,1746,BLADDER
204,3118,IRON (CLOTHES)
205,38,SPREAD OUT
206,2224,BEND (SOMETHING)
207,700,CARRY
208,1039,SHOW
103,1309,ASK (INQUIRE)
209,252,FRIGHTEN
210,3230,DECEIVE
211,2485,HIDE (ONESELF)
212,1451,SMILE
213,3371,WASH (ONESELF)
214,253,CARE FOR
215,3302,QUARREL (VERB)
106,2215,BECOME ANGRY
216,2506,LOOSE
217,569,SPOIL (BECOME SPOILED)
218,3291,DRIVE OR IMPEL OR RIDE
26,2142,RUN AWAY
219,3359,DRIP OR DROP SOMETHING
220,1840,BUILD
139,2575,DO OR MAKE
221,1904,DROWN
222,1253,RAIN (RAINING)
223,203,MARRY
218,367,RIDE
224,2396,KNOCK
225,2238,KNOW HOW
226,319,LICK
227,1458,SAY
228,3809,SCREAM (PRODUCE A CRY)
229,865,FAME
230,9,ANNOUNCE
231,976,WEAR
232,1230,DIRTY
233,1778,APPROACH
234,3819,COLD (FEELING COLD)
235,3835,BE CALLED BY NAME
236,1868,VISIBLE
237,1572,SURPRISED
238,1495,HAPPY
239,2071,LAY (VERB)
240,2237,FIND OUT
241,3078,IRRIGATE
242,1802,SCREW
243,2253,DRIP (EMIT LIQUID)
244,2991,SKI
245,52,SHIVER
246,55,WHISPER
247,1085,FOLLOW
248,984,WORK (LABOUR)
